run_name,lr,weight_decay,dilation_stage3,blocks_per_stage,train_loss,train_acc,val_loss,val_acc,best_val_acc,best_val_loss
grid_lr=0.0005_wd=1e-05_dil=2_blk=3,0.0005,1e-05,2,3,0.30395107554990475,0.8962844488188977,0.31453134899630264,0.8888480392156862,0.9052083333333333,0.27461489877280065
grid_lr=0.0005_wd=1e-05_dil=3_blk=3,0.0005,1e-05,3,3,0.320783825723205,0.890994094488189,0.2946148767190821,0.8960784313725491,0.8960784313725491,0.2946148767190821
grid_lr=0.0005_wd=1e-05_dil=3_blk=2,0.0005,1e-05,3,2,0.3365103585542891,0.8821358267716536,0.32473981073674035,0.8909313725490197,0.8909313725490197,0.32473981073674035
grid_lr=0.0005_wd=1e-04_dil=3_blk=3,0.0005,0.0001,3,3,0.3159349017197222,0.890871062992126,0.30227543282158237,0.8888480392156862,0.8888480392156862,0.30227543282158237
grid_lr=0.0005_wd=1e-05_dil=2_blk=2,0.0005,1e-05,2,2,0.34228411841932244,0.8827509842519685,0.31734899317517,0.8887254901960785,0.8887254901960785,0.31734899317517
grid_lr=0.0005_wd=1e-04_dil=2_blk=3,0.0005,0.0001,2,3,0.30388473299896623,0.8971456692913385,0.3280301833854002,0.8879901960784314,0.8879901960784314,0.3280301833854002
grid_lr=0.0005_wd=1e-04_dil=3_blk=2,0.0005,0.0001,3,2,0.33975338129194704,0.8825049212598425,0.3364308672792771,0.8837622549019608,0.8837622549019608,0.3364308672792771
grid_lr=0.0010_wd=1e-05_dil=2_blk=2,0.001,1e-05,2,2,0.34785696261335075,0.8792445866141733,0.36833060278612023,0.8783088235294118,0.8783088235294118,0.36833060278612023
grid_lr=0.0005_wd=1e-04_dil=2_blk=2,0.0005,0.0001,2,2,0.34502126094628505,0.8828125,0.35076332407839156,0.8768382352941176,0.8768382352941176,0.35076332407839156
grid_lr=0.0020_wd=1e-05_dil=3_blk=2,0.002,1e-05,3,2,0.37376462333784327,0.867433562992126,0.3602173963013817,0.8738357843137255,0.8738357843137255,0.3602173963013817
grid_lr=0.0010_wd=1e-05_dil=2_blk=3,0.001,1e-05,2,3,0.34902584799162045,0.8822588582677166,0.35922159254550934,0.8720588235294118,0.8720588235294118,0.35922159254550934
grid_lr=0.0010_wd=1e-04_dil=2_blk=2,0.001,0.0001,2,2,0.35446198126227835,0.8764763779527559,0.39408903577748466,0.8661764705882353,0.8661764705882353,0.39408903577748466
grid_lr=0.0020_wd=1e-05_dil=2_blk=2,0.002,1e-05,2,2,0.3861285674965053,0.8653420275590551,0.38785757720470426,0.8651348039215686,0.8651348039215686,0.38785757720470426
grid_lr=0.0010_wd=1e-04_dil=3_blk=3,0.001,0.0001,3,3,0.37061963341836857,0.8755536417322834,0.4231843128800392,0.852389705882353,0.852389705882353,0.4231843128800392
grid_lr=0.0020_wd=1e-04_dil=3_blk=2,0.002,0.0001,3,2,0.3955733459296189,0.8619586614173228,0.5188872039318084,0.810968137254902,0.8517156862745098,0.42948418277151446
grid_lr=0.0010_wd=1e-04_dil=3_blk=2,0.001,0.0001,3,2,0.36220430515295876,0.874507874015748,0.4306621046627269,0.851593137254902,0.851593137254902,0.4306621046627269
grid_lr=0.0010_wd=1e-04_dil=2_blk=3,0.001,0.0001,2,3,0.36139266873438525,0.8783833661417323,0.4428248561480466,0.8492034313725491,0.8492034313725491,0.4428248561480466
grid_lr=0.0020_wd=1e-05_dil=3_blk=3,0.002,1e-05,3,3,0.4601261020293386,0.8448572834645669,0.437876690661206,0.8485294117647059,0.8485294117647059,0.437876690661206
grid_lr=0.0010_wd=1e-05_dil=3_blk=2,0.001,1e-05,3,2,0.35874351036302216,0.8764763779527559,0.4701468387070824,0.846139705882353,0.846139705882353,0.4701468387070824
grid_lr=0.0020_wd=1e-04_dil=2_blk=2,0.002,0.0001,2,2,0.41456548476547705,0.8570374015748031,0.4756472738350139,0.8348651960784315,0.8348651960784315,0.4756472738350139
grid_lr=0.0020_wd=1e-05_dil=2_blk=3,0.002,1e-05,2,3,0.4212274723869609,0.8554379921259843,0.4992749901378856,0.8316789215686274,0.8316789215686274,0.4992749901378856
grid_lr=0.0010_wd=1e-05_dil=3_blk=3,0.001,1e-05,3,3,0.35509194075826583,0.8802288385826772,0.5777864691089182,0.7909926470588236,0.8191789215686274,0.5685811407425825
grid_lr=0.0020_wd=1e-04_dil=3_blk=3,0.002,0.0001,3,3,0.47971134515493874,0.8345841535433071,0.7083214903579039,0.7960784313725491,0.7960784313725491,0.7083214903579039
grid_lr=0.0020_wd=1e-04_dil=2_blk=3,0.002,0.0001,2,3,0.4680657314620619,0.8391978346456693,0.7129899077555713,0.7704656862745097,0.7704656862745097,0.7129899077555713
